name,DS100,"UIC (IBNR)",Latitude,Longitude
"Bad Bergzabern",RBZB,8000691,49.103209,8.002787
"Bad Berka",UBB,8011066,50.896138,11.28155
"Bad Berka Zeughausplatz",UBBZ,8011067,50.900441,11.280095
"Bad Berleburg",EBLB,8000907,51.051197,8.394109
"Bad Bevensen",ABVS,8000935,53.078247,10.574141
"Bad Birnbach",MBIB,8000988,48.432853,13.074034
"Bad Blankenburg(Thüringerw)",UBL,8010014,50.682648,11.275498
"Bad Blumau",XABB,8100663,47.1234144896724,16.0565695247989
"Bad Bodendorf",KBOD,8001049,50.556266,7.217217
"Bad Bodenteich",HBOD,8001052,52.834275,10.673371
"Bad Brambach",DBM,8011068,50.217587,12.311414
"Bad Bramstedt",ABSD,8007058,53.920593,9.890162
"Bad Bramstedt Kurhaus",ABSK,8007057,53.904013,9.890463
"Bad Breisig",KBRE,8000694,50.504218,7.304564
"Bad Camberg",FCA,8001322,50.296433,8.255036
"Bad Doberan",WDO,8010016,54.100004,11.905335
"Bad Doberan Goethestraße",WDOG,8011069,54.108463,11.899894
"Bad Doberan Stadtmitte",WDOS,8081085,54.10465,11.9021
"Bad Driburg(Westf)",HBDG,8000697,51.730323,9.03081
"Bad Düben(Mulde)",LDU,8011070,51.587623,12.598815
"Bad Dürkheim",RBDH,8000698,49.460633,8.170701
"Bad Dürkheim-Trift",RBDT,8000708,49.466416,8.193072
"Bad Dürrenberg",LDBG,8011071,51.304941,12.069655
"Bad Elster",DBEL,8011072,50.296672,12.256286
"Bad Empfing",MBEP,8000700,47.884007,12.632888
"Bad Ems",FEMS,8000701,50.327652,7.728637
"Bad Ems West",FEMW,8000702,50.330694,7.706039
"Bad Endorf",MBEF,8001787,47.905066,12.301558
"Bad Fallingbostel",HFAL,8001958,52.862925,9.700233
"Bad Freienwalde",WFW,8010017,52.789933,14.035751
"Bad Friedrichshall Hbf",TBF,8000017,49.231571,9.199771
"Bad Friedrichshall-Kochendorf",TBK,8000704,49.217753,9.211549
"Bad Gandersheim",HBGM,8000352,51.86737,10.020236
"Bad Gastein",XABG,8100095,47.1118078213117,13.1319838655024
"Bad Griesbach(Schwarzwald)",RBGR,8000707,48.448618,8.230569
"Bad Grönenbach",MGNB,8002378,47.882468,10.253715
"Bad Harzburg",HBHA,8000019,51.888116,10.555444
"Bad Herrenalb",RHLB,8007011,48.802428,8.438957
"Bad Hersfeld",FBHF,8000020,50.869632,9.716182
"Bad Hofgastein",XABH,8100097,47.1953376763758,13.1005564309789
"Bad Homburg",FHO,8000712,50.219904,8.620624
"Bad Honnef Stadtbahn",KHF,8070073,50.64375,7.217231
"Bad Honnef(Rhein)",KHBD,8000713,50.639772,7.219533
"Bad Höhenstadt",MBHT,8000710,48.494606,13.323195
"Bad Hönningen",KHGB,8000711,50.513676,7.310871
"Bad Imnau",TIMN,8070309,48.404155,8.770092
"Bad Ischl",XAIS,8100157,47.7122337680111,13.6275770677526
"Bad Karlshafen",HKRF,8003182,51.64627,9.44571
"Bad Kissingen",NBKI,8000714,50.191547,10.079885
"Bad Kleinen",WK,8010018,53.766974,11.466925
"Bad Kohlgrub",MBKG,8000716,47.668006,11.058204
"Bad Kohlgrub Kurhaus",MBKK,8000717,47.670213,11.039181
"Bad Kreuznach",SBKN,8000021,49.842399,7.866435
"Bad Krozingen",RBKR,8000718,47.919721,7.697632
"Bad Krozingen Ost",RBKO,8007330,47.91714,7.70979
"Bad König",FKI,8000715,49.738577,9.001539
"Bad König Zell",FZK,8006643,49.720326,8.994116
"Bad Kösen",UKO,8010019,51.130742,11.718274
"Bad Köstritz",UBKZ,8011074,50.93159,12.028452
"Bad Kötzting",NKZ,8003393,49.17292,12.851892
"Bad Laasphe",ELSP,8003486,50.929312,8.42072
"Bad Laasphe-Niederlaasphe",ENL,8003493,50.924324,8.442001
"Bad Langensalza",ULS,8010020,51.101701,10.640671
"Bad Lausick",LBLS,8011077,51.143803,12.648695
"Bad Lauterberg im Harz Barbis",HBLB,8005324,51.619024,10.414607
"Bad Liebenwerda",BBLW,8011078,51.518401,13.40293
"Bad Liebenzell",TBLI,8000721,48.772578,8.734039
"Bad Lobenstein",ULB,8013452,50.452122,11.642171
"Bad Malente-Gremsmühlen",AMAG,8003829,54.167014,10.55151
"Bad Mergentheim",TBMR,8000724,49.493647,9.771662
"Bad Münder(Deister)",HMDD,8000725,52.178192,9.468062
"Bad Münster a Stein",SBMS,8000726,49.813426,7.846989
"Bad Münstereifel",KMUE,8000727,50.558914,6.764369
"Bad Münstereifel-Arloff",KARL,8000601,50.597676,6.786608
"Bad Münstereifel-Iversheim",KIV,8003104,50.583034,6.769162
"Bad Nauheim",FBNA,8000728,50.367904,8.749334
"Bad Nenndorf",HNDF,8000022,52.343735,9.378603
"Bad Neuenahr",KNEB,8000729,50.547765,7.144304
"Bad Neustadt(Saale)",NBNE,8000730,50.328127,10.226134
"Bad Niedernau",TBN,8000731,48.460766,8.896533
"Bad Nieuweschans",XNNS,8400457,53.1844,7.19937
"Bad Oeynhausen",HOY,8000732,52.205398,8.796523
"Bad Oeynhausen Süd",HBOE,8000733,52.197127,8.801723
"Bad Oldesloe",AO,8000023,53.805283,10.382832
"Bad Peterstal",RBPL,8000734,48.428895,8.201948
"Bad Pyrmont",HPRT,8000735,51.974233,9.272719
"Bad Ragaz",XSRA,8509004,47.0103066076757,9.50521579767137
"Bad Rappenau",RBRA,8000736,49.237765,9.101529
"Bad Rappenau Kurpark",RBPK,8000777,49.240371,9.113526
"Bad Reichenhall",MBRL,8000737,47.731168,12.881825
"Bad Reichenhall-Kirchberg",MBRK,8000738,47.718538,12.874001
"Bad Rodach",NRC,8005112,50.336986,10.778387
"Bad Rotenfels Bf",RRO,8005183,48.815822,8.3031
"Bad Rotenfels Schloss",RROG,8005186,48.819949,8.297131
"Bad Rotenfels Weinbrennerstraße",RROW,8005187,48.811515,8.312054
"Bad Saarow",BBSP,8011079,52.293253,14.064929
"Bad Saarow Klinikum",BBSK,8010028,52.284632,14.065964
"Bad Sachsa",HSCH,8000739,51.581944,10.573211
"Bad Salzdetfurth",HBSA,8000740,52.062635,10.005595
"Bad Salzdetfurth Solebad",HBSK,8000759,52.06994,10.018916
"Bad Salzhausen",FBSH,8000741,50.418878,8.980381
"Bad Salzschlirf",FSF,8000743,50.626935,9.494484
"Bad Salzuflen",EBSU,8000744,52.081628,8.740428
"Bad Salzungen",USZ,8010021,50.815185,10.23106
"Bad Sassendorf",EBSA,8000745,51.587168,8.162439
"Bad Saulgau",TSL,8005301,48.013593,9.501083
"Bad Schallerbach-Wallern",XASBW,8100021,48.2286625314622,13.9222143926918
"Bad Schandau",DSA,8010022,50.918835,14.139322
"Bad Schlema",DSUB,8012873,50.618902,12.680229
"Bad Schmiedeberg",LBSB,8011081,51.688761,12.743874
"Bad Schmiedeberg Kurzentrum",LBSK,8070831,51.67901,12.734999
"Bad Schmiedeberg Süd",LBSS,8011083,51.6698138,12.7258694
"Bad Schussenried",TBSC,8000746,47.994033,9.668497
"Bad Schwartau",ASCH,8000749,53.916276,10.702722
"Bad Schönborn Süd",RBS,8003533,49.200001,8.641924
"Bad Schönborn-Kronau",RBSK,8004032,49.219345,8.646821
"Bad Sebastiansweiler-Belsen",TBSB,8000750,48.395566,9.030023
"Bad Segeberg",ASB,8000751,53.933805,10.308163
"Bad Sobernheim",SSOB,8005583,49.78285,7.649816
"Bad Soden(Taunus)",FBSO,8000752,50.143406,8.504128
"Bad Soden-Salmünster",FBSS,8005261,50.280742,9.372053
"Bad Sooden-Allendorf",FBSD,8000753,51.267974,9.968696
