MathMLGSL_PERLRNG_WITH_OC,MathMLGSL_PERLRNG_WO_OC,PDLGSL_PDLGSLUNIF_WITH_OC,PDLGSL_PDLGSLUNIF_WO_OC,PDLGSL_PDLUNIF_WITH_OC,PDLGSL_PDLUNIF_WO_OC,PDLGSL_PERLRNGPDL_WITH_OC,PDLGSL_PERLRNGPDL_WO_OC
0.645763,0.643796,0.050156,0.049727,0.045308,0.045637,0.148771,0.153990
0.643151,0.641215,0.049687,0.050405,0.045951,0.045842,0.149846,0.153517
0.643236,0.639931,0.049847,0.050196,0.046296,0.046921,0.154287,0.153771
0.644170,0.639463,0.051937,0.050459,0.045894,0.045537,0.155813,0.150395
0.643452,0.640851,0.051086,0.049606,0.047180,0.045231,0.154410,0.154719
0.639442,0.642020,0.049960,0.050105,0.047574,0.045452,0.153521,0.153540
0.642982,0.641948,0.050058,0.049607,0.046347,0.045131,0.154325,0.154290
0.641088,0.643892,0.050202,0.049878,0.045848,0.045866,0.149247,0.153752
0.639994,0.645279,0.050250,0.049888,0.045959,0.046311,0.155640,0.154134
0.639476,0.644913,0.050132,0.050786,0.045562,0.045553,0.152580,0.153978
0.641837,0.645093,0.050811,0.049691,0.045555,0.045486,0.154060,0.152903
0.644449,0.640852,0.050152,0.049488,0.045592,0.046028,0.152987,0.152940
0.644491,0.642255,0.049990,0.049699,0.046153,0.045603,0.153156,0.148771
0.645415,0.645390,0.049833,0.049972,0.045829,0.045257,0.151872,0.151091
0.643261,0.642525,0.050388,0.050070,0.045987,0.046480,0.153724,0.150309
0.643232,0.637765,0.050248,0.051487,0.046095,0.046343,0.150855,0.150063
0.645531,0.641634,0.051163,0.050022,0.046986,0.045061,0.153787,0.153395
0.645170,0.637596,0.050721,0.050681,0.046510,0.045432,0.153518,0.154187
0.644063,0.643871,0.050130,0.050735,0.046638,0.045692,0.152204,0.155549
0.643425,0.646770,0.049931,0.050735,0.046270,0.045720,0.153038,0.152801
0.641936,0.641838,0.050001,0.050935,0.046875,0.045653,0.153838,0.150032
0.644266,0.642516,0.049683,0.049687,0.045733,0.046182,0.153281,0.153227
0.644912,0.644700,0.050650,0.050022,0.045757,0.045213,0.149650,0.153544
0.641113,0.642886,0.049797,0.050129,0.045550,0.046585,0.154267,0.152475
0.641696,0.641002,0.051214,0.050152,0.046109,0.045259,0.155601,0.149123
0.639915,0.642027,0.050896,0.049936,0.046460,0.046176,0.149201,0.154093
0.643961,0.644695,0.049745,0.050123,0.046381,0.045763,0.152629,0.153065
0.646702,0.641977,0.050390,0.050084,0.045859,0.045328,0.152603,0.151936
0.643848,0.637299,0.060633,0.049504,0.046791,0.045497,0.153453,0.157179
0.642218,0.641450,0.050692,0.050076,0.046295,0.045637,0.150572,0.152538
0.644472,0.642932,0.050763,0.050581,0.046576,0.045152,0.153017,0.154342
0.642651,0.640058,0.051173,0.050015,0.045759,0.045595,0.151885,0.150635
0.657812,0.646365,0.049725,0.049753,0.045764,0.045446,0.152880,0.153303
0.646570,0.636794,0.050464,0.049834,0.045499,0.045511,0.153412,0.152145
0.639727,0.654162,0.049588,0.050128,0.045449,0.045990,0.153968,0.152279
0.642699,0.640555,0.049772,0.049692,0.046269,0.045266,0.154635,0.153049
0.641722,0.644623,0.049916,0.049623,0.046148,0.045572,0.148873,0.155961
0.642084,0.639228,0.049751,0.049969,0.046590,0.046193,0.153303,0.149471
