" SPDX Full name of License v1.8";"SPDX License Identifier";"SPDX Source URL";"Fedora License Identifier";"LDB License Identifier";"New Open Suse License Identifier";"compatibility class";"comment"
"CeCILL Free Software License Agreement v2.0";"CECILL-2";"http://www.cecill.info/licences/Licence_CeCILL_V2-fr.html";"CECILL";"?";"CeCILL-2";4;
"CeCILL-B Free Software License Agreement";"CECILL-B";"http://www.cecill.info/licences/Licence_CeCILL-B_V1-fr.html";"CECILL-B";"?";"CeCILL-B";2;
"CeCILL-C Free Software License Agreement";"CECILL-C";"http://www.cecill.info/licences/Licence_CeCILL-C_V1-fr.html";"CECILL-C";"?";"CeCILL-C";3;
"Clarified Artistic License";"ClArtistic";"http://www.ncftp.com/ncftp/doc/LICENSE.txt";"Artistic clarified";"Clarified Artistic";"Artistic(clarified)";2;
"Common Development and Distribution License 1.0";"CDDL-1";"http://www.sun.com/cddl/cddl.html  http://www.opensource.org/licenses/cddl1.php";"CDDL";"CDDL 1.0";"CDDL-1";4;
"Common Public Attribution License 1.0 ";"CPAL-1";"http://www.opensource.org/licenses/cpal_1.0";"?";"CPAL v1.0";"CPAL-1";3;
"Common Public License 1.0";"CPL-1";"http://www.opensource.org/licenses/cpl1.0.php";"CPL ";"CPL 1.0";"CPL-1";4;
"Computer Associates Trusted Open Source License 1.1";"CATOSL-1.1";"http://www.opensource.org/licenses/ca-tosl1.1.php";"CATOSL";"?";"CATOSL-1.1";3;
"Creative Commons Attribution 1.0";"CC-BY-1";"http://creativecommons.org/licenses/by/1.0/legalcode";"?";"CC Attribution 1.0";"CC-BY-1";1;
"Creative Commons Attribution 2.0";"CC-BY-2";"http://creativecommons.org/licenses/by/2.0/legalcode";"?";"CC Attribution 2.0";"CC-BY-2";1;
"Creative Commons Attribution 2.5";"CC-BY-2.5";"http://creativecommons.org/licenses/by/2.5/legalcode";"?";"CC by 2.5";"CC-BY-2.5";1;
"Creative Commons Attribution 3.0";"CC-BY-3";"http://creativecommons.org/licenses/by/3.0/legalcode";"?";"CC Attribution 3.0";"CC-BY-3";1;
"Creative Commons Attribution No Derivatives 1.0";"CC-BY-ND-1";"http://creativecommons.org/licenses/by-nd/1.0/legalcode";"?";"CC Att NoDerivs";"CC-BY-ND-1";5;
"Creative Commons Attribution No Derivatives 2.0";"CC-BY-ND-2";"http://creativecommons.org/licenses/by-nd/2.0/legalcode";"?";"CC Att NoDerivs";"CC-BY-ND-2";5;
"Creative Commons Attribution No Derivatives 2.5";"CC-BY-ND-2.5";"http://creativecommons.org/licenses/by-nd/2.5/legalcode";"?";"CC Att NoDerivs";"CC-BY-ND-2.5";5;
"Creative Commons Attribution No Derivatives 3.0";"CC-BY-ND-3";"http://creativecommons.org/licenses/by-nd/3.0/legalcode";"?";"CC Att NoDerivs";"CC-BY-ND-3";5;
"Creative Commons Attribution Non Commercial 1.0";"CC-BY-NC-1";"http://creativecommons.org/licenses/by-nc/1.0/legalcode";"?";"?";"CC-BY-NC-1";2;
"Creative Commons Attribution Non Commercial 2.0";"CC-BY-NC-2";"http://creativecommons.org/licenses/by-nc/2.0/legalcode";"?";"?";"CC-BY-NC-2";2;
"Creative Commons Attribution Non Commercial 2.5";"CC-BY-NC-2.5";"http://creativecommons.org/licenses/by-nc/2.5/legalcode";"?";"?";"CC-BY-NC-2.5";2;
"Creative Commons Attribution Non Commercial 3.0";"CC-BY-NC-3";"http://creativecommons.org/licenses/by-nc/3.0/legalcode";"?";"?";"CC-BY-NC-3";2;
"Creative Commons Attribution Non Commercial No Derivatives 1.0";"CC-BY-NC-ND-1";"http://creativecommons.org/licenses/by-nd-nc/1.0/legalcode";"?";"CC-BY-NC-ND";"CC-BY-NC-ND-1";5;
"Creative Commons Attribution Non Commercial No Derivatives 2.0";"CC-BY-NC-ND-2";"http://creativecommons.org/licenses/by-nc-nd/2.0/legalcode";"?";"CC-BY-NC-ND";"CC-BY-NC-ND-2";5;
"Creative Commons Attribution Non Commercial No Derivatives 2.5";"CC-BY-NC-ND-2.5";"http://creativecommons.org/licenses/by-nc-nd/2.5/legalcode";"?";"CC-BY-NC-ND";"CC-BY-NC-ND-2.5";5;
"Creative Commons Attribution Non Commercial No Derivatives 3.0";"CC-BY-NC-ND-3";"http://creativecommons.org/licenses/by-nc-nd/3.0/legalcode";"?";"CC-BY-NC-ND";"CC-BY-NC-ND-3";5;
"Creative Commons Attribution Non Commercial Share Alike 1.0";"CC-BY-NC-SA-1";"http://creativecommons.org/licenses/by-nc-sa/1.0/legalcode";"?";"CC Att SA Non Commercial v1.0";"CC-BY-NC-SA-1";4;
"Creative Commons Attribution Non Commercial Share Alike 2.0";"CC-BY-NC-SA-2";"http://creativecommons.org/licenses/by-nc-sa/2.0/legalcode";"?";"?";"CC-BY-NC-SA-2";4;
"Creative Commons Attribution Non Commercial Share Alike 2.5";"CC-BY-NC-SA-2.5";"http://creativecommons.org/licenses/by-nc-sa/2.5/legalcode";"?";"CC Att SA Non Commercial v2.5";"CC-BY-NC-SA-2.5";4;
